address_id,name,lat,lon,building_matched,structure_hint,hint_confidence,hint_signals,class_source,footprint_area_m2,elongation_ratio,perimeter_complexity,floor_count_est,footprint_source,footprint_match_distance_m
addr_1058,pl00001528824418,46.81844999983019,-100.8117638890431,True,MDU,0.75,['area_or_shape'],RULE,340.9,1.893,1.0,1.0,ms,45.82
addr_1059,pl00001528824417,46.81865555533574,-100.8118944447966,True,MDU,0.75,['area_or_shape'],RULE,477.25,1.185,1.045,1.0,ms,39.94
addr_1060,pl00001528824410,46.81842222209858,-100.813627777375,True,MDU,0.75,['area_or_shape'],RULE,797.29,1.268,1.058,1.0,ms,34.24
addr_1061,pl00001528824327,46.81817777781054,-100.8153111115213,True,MDU,0.75,['area_or_shape'],RULE,671.83,1.877,1.0,1.0,ms,24.57
addr_1062,pl00001528824411,46.81862499976258,-100.8135111113724,True,MDU,0.75,['area_or_shape'],RULE,540.73,1.13,1.026,1.0,ms,32.64
addr_1063,pl00001528824416,46.81889722197695,-100.8120694446988,True,MDU,0.75,['area_or_shape'],RULE,523.09,1.031,1.101,1.0,ms,21.78
addr_1064,pl00001528824328,46.81848611141307,-100.8152972226686,True,MDU,0.75,['area_or_shape'],RULE,647.63,1.356,1.105,1.0,ms,17.69
addr_1065,pl00001528824412,46.81887777766656,-100.8134249997676,True,MDU,0.75,['area_or_shape'],RULE,633.07,3.07,1.0,1.0,ms,30.17
addr_1066,pl00001528824415,46.81915277775126,-100.8122527773735,True,MDU,0.75,['area_or_shape'],RULE,407.85,1.092,1.071,1.0,ms,7.7
addr_1067,pl00001528824329,46.81873888874058,-100.8152972226686,True,MDU,0.75,['area_or_shape'],RULE,1035.1,1.211,1.189,1.0,ms,5.68
addr_1068,pl00001528824413,46.81911111138566,-100.8132777775706,True,MDU,0.75,['area_or_shape'],RULE,490.01,1.891,1.0,1.0,ms,7.01
addr_1069,pl00001528824330,46.81912499976796,-100.8152944441795,True,MDU,0.75,['area_or_shape'],RULE,1035.1,1.211,1.189,1.0,ms,29.71
addr_1070,pl00001528824414,46.81950277800425,-100.8132583335363,True,MDU,0.75,['area_or_shape'],RULE,786.33,1.005,1.145,1.0,ms,15.82
addr_1071,pl00001528824331,46.81943055556513,-100.8152833329177,True,MDU,0.75,['area_or_shape'],RULE,810.62,1.004,1.063,1.0,ms,14.51
addr_1072,pl00001528824332,46.81983611112894,-100.8152750001451,True,MDU,0.75,['area_or_shape'],RULE,810.62,1.004,1.063,1.0,ms,17.57
addr_1073,pl00001528824312,46.81376111137308,-100.8154194447513,False,UNRESOLVED,0.0,['no_match'],NONE,,,,,,
addr_1074,pl00001528824316,46.81401944453757,-100.8153666669317,True,MDU,0.75,['area_or_shape'],RULE,472.76,1.223,1.054,1.0,ms,44.31
addr_1075,pl00001528824313,46.81359444437495,-100.8150388887525,True,MDU,0.75,['area_or_shape'],RULE,501.17,1.152,1.058,1.0,ms,38.83
addr_1076,pl00001528824314,46.81345833354239,-100.8147000002099,True,MDU,0.75,['area_or_shape'],RULE,501.17,1.152,1.058,1.0,ms,21.01
addr_1077,pl00001528824315,46.81322222227305,-100.814174999605,True,MDU,0.75,['area_or_shape'],RULE,489.15,1.101,1.1,1.0,ms,9.29
addr_1078,pl00001528824385,46.8141583333582,-100.8139611107359,True,MDU,0.75,['area_or_shape'],RULE,438.85,1.043,1.055,1.0,ms,15.09
addr_1079,pl00001528821510,46.81298888882097,-100.8136527774893,True,MDU,0.75,['area_or_shape'],RULE,372.36,1.089,1.055,1.0,ms,20.49
addr_1080,pl00001528824384,46.81393611119598,-100.8135999996697,True,MDU,0.75,['area_or_shape'],RULE,430.63,1.375,1.047,1.0,ms,17.04
addr_1081,pl00001528824333,46.8199666666594,-100.8151000002429,True,MDU,0.75,['area_or_shape'],RULE,810.62,1.004,1.063,1.0,ms,37.89
addr_1082,pl00001528824334,46.81996388878078,-100.8147944445873,False,UNRESOLVED,0.0,['no_match'],NONE,,,,,,
